acc,organism,clade,arm
LC060515.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060513.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060512.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060511.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060509.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060508.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060507.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060506.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060505.1,"Acinetospora asiatica chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Brown algae,B1_sparse_clade
LC060504.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060503.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060502.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060501.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060500.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060499.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060498.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060497.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060496.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060495.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060494.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
LC060493.1,"Acinetospora filamentosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Brown algae,B1_sparse_clade
EF658644.1,"Laurencia intricata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,B1_sparse_clade
EF658643.1,"Laurencia intricata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Red algae,B1_sparse_clade
KY927733.1,"Laurencia sp. morphotype G voucher D821 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, parti",Red algae,B1_sparse_clade
LC145073.1,"Haplomitrium hookeri chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete c",Liverworts,B1_sparse_clade
LC145072.1,"Haplomitrium hookeri chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete c",Liverworts,B1_sparse_clade
AY996366.1,"Spermatochnus paradoxus strain SAG 10.82 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comp",Brown algae,B1_sparse_clade
KX146183.1,"Laurencia sp. voucher HEC16009 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; c",Red algae,B1_sparse_clade
KX146182.1,"Laurencia sp. voucher JML0132 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",Red algae,B1_sparse_clade
KX146181.1,"Laurencia sp. voucher JML0097 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",Red algae,B1_sparse_clade
KX146180.1,"Laurencia sp. voucher JML0141 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",Red algae,B1_sparse_clade
KX146179.1,"Laurencia sp. voucher ODC1082 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",Red algae,B1_sparse_clade
KX146178.1,"Laurencia sp. voucher JML0150 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",Red algae,B1_sparse_clade
KX146177.1,"Laurencia sp. voucher JML0216 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ch",Red algae,B1_sparse_clade
KX146176.1,"Laurencia sp. voucher HEC15902 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; c",Red algae,B1_sparse_clade
KT804669.1,"Filibryum ogatae voucher Wonhee1468 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
KT804668.1,"Filibryum ogatae voucher Wonhee1443 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
KT804667.1,"Filibryum ogatae voucher Wonhee1441 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
KT804666.1,"Filibryum ogatae voucher Wonhee1431 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
KT804665.1,"Filibryum ogatae voucher Wonhee1400 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
KT804664.1,"Filibryum ogatae voucher Wonhee1357 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
KT804663.1,"Filibryum ogatae voucher Wonhee1267 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
KT804662.1,"Filibryum ogatae voucher Wonhee1260 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
KT804661.1,"Filibryum ogatae voucher Wonhee1041 (KB, HIRO) ribulose 1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds;",Mosses,B1_sparse_clade
DQ286008.1,"Cyathodium tuberosum ribulose-1,5-biphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Liverworts,B1_sparse_clade
AY588410.1,"Laurencia intricata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",Red algae,B1_sparse_clade
AY346095.1,"Acanthorrhynchium papillatum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; ch",Mosses,B1_sparse_clade
GU330220.1,"Laurencia sp. JDL-2010 voucher UAMIZ-1052 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, com",Red algae,B1_sparse_clade
GU330219.1,"Laurencia sp. JDL-2010 voucher UAMIZ-1051 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, com",Red algae,B1_sparse_clade
GU330218.1,"Laurencia sp. JDL-2010 voucher UAMIZ-1050 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, com",Red algae,B1_sparse_clade
GQ149490.1,"Laurencia intricata voucher UAMIZ:1017 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comple",Red algae,B1_sparse_clade
GQ149489.1,"Laurencia intricata voucher UAMIZ:1004 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, comple",Red algae,B1_sparse_clade
AF465809.1,"Laurencia intricata from Mexico ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; ",Red algae,B1_sparse_clade
AB914722.1,"Timmiella anomala chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds",Mosses,B1_sparse_clade
GU330238.1,"Laurencia intricata voucher SP365.669 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complet",Red algae,B1_sparse_clade
AB279617.1,"Orthotrichum consobrinum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comple",Mosses,B1_sparse_clade
AB469771.1,"Pohlia annotina chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
AB469770.1,"Pohlia annotina chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
AB469769.1,"Pohlia annotina chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
AB469552.1,"Pohlia annotina chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
AB469551.1,"Pohlia annotina chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
AB469549.1,"Pohlia annotina chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds, s",Mosses,B1_sparse_clade
AB051224.1,"Acanthorrhynchium papillatum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, co",Mosses,B1_sparse_clade
OP237580.1,"Baolia bracteata isolate p2-7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237579.1,"Baolia bracteata isolate p2-6 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237578.1,"Baolia bracteata isolate p2-5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237577.1,"Baolia bracteata isolate p2-4 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237576.1,"Baolia bracteata isolate p2-3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237575.1,"Baolia bracteata isolate p2-2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237574.1,"Baolia bracteata isolate p2-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237573.1,"Baolia bracteata isolate p1-9 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237572.1,"Baolia bracteata isolate p1-8 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237571.1,"Baolia bracteata isolate p1-7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237570.1,"Baolia bracteata isolate p1-6 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237569.1,"Baolia bracteata isolate p1-5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237568.1,"Baolia bracteata isolate p1-4 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237567.1,"Baolia bracteata isolate p1-3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237566.1,"Baolia bracteata isolate p1-2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
OP237565.1,"Baolia bracteata isolate p1-1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
PZ584714.1,"Paulinella sp. B8128-2 isolate 5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds",Other SAR/protist,B2_balanced
PZ584713.1,"Paulinella sp. B8128-1 isolate 9 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds",Other SAR/protist,B2_balanced
LC899187.1,"Pyropia akasakae UM-AK7 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,B2_balanced
LC899186.1,"Pyropia akasakae UM-AK2 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,B2_balanced
LC899185.1,"Pyropia akasakae UM-AK1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Red algae,B2_balanced
LC859596.1,"Trichocolea japonica TNS:Osaku s.n. chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Liverworts,B2_balanced
LC859595.1,"Trichocolea japonica TNS:Osaku 2409-035 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,B2_balanced
LC859594.1,"Trichocolea japonica TNS:Osaku 2408-029 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,B2_balanced
LC859593.1,"Trichocolea japonica TNS:Osaku 2406-020 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large ",Liverworts,B2_balanced
LC859592.1,"Trichocolea japonica TNS:M. Higuchi 53740 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase larg",Liverworts,B2_balanced
LC176260.1,"Weisiopsis anomala chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds",Mosses,B2_balanced
AB970712.1,"Clastobryellina orientalis chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,B2_balanced
AB970711.1,"Clastobryellina orientalis chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Mosses,B2_balanced
AB853079.1,"Timmiella anomala chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds,",Mosses,B2_balanced
AB853073.1,"Hypnodontopsis apiculatus chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Mosses,B2_balanced
LC924964.1,"Myuroclada maximowiczii TNS:MH:257334 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large su",Mosses,B2_balanced
LC924950.1,"Calohypnum plumiforme TNS:MH:256414 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,B2_balanced
LC924949.1,"Calohypnum plumiforme TNS:MH:258474 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,B2_balanced
LC924948.1,"Calohypnum plumiforme TNS:MH:257329 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,B2_balanced
LC924944.1,"Pylaisiadelpha yokohamae TNS:MH:256171 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924943.1,"Pylaisiadelpha yokohamae TNS:MH:250857 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924942.1,"Pylaisiadelpha yokohamae TNS:MH:258506 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924941.1,"Pylaisiadelpha yokohamae TNS:MH:250882 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924940.1,"Pylaisiadelpha yokohamae TNS:MH:258482 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924939.1,"Pylaisiadelpha yokohamae TNS:MH:258488 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924938.1,"Pylaisiadelpha yokohamae TNS:MH:256087 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924937.1,"Pylaisiadelpha yokohamae TNS:MH:257361 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924936.1,"Pylaisiadelpha yokohamae TNS:MH:257105 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924935.1,"Pylaisiadelpha yokohamae TNS:MH:257393 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924934.1,"Pylaisiadelpha yokohamae TNS:MH:256177 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924933.1,"Pylaisiadelpha yokohamae TNS:MH:256583 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924932.1,"Pylaisiadelpha yokohamae TNS:MH:250870 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924931.1,"Pylaisiadelpha yokohamae TNS:MH:257358 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924930.1,"Pylaisiadelpha yokohamae TNS:MH:253524 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924929.1,"Pylaisiadelpha yokohamae TNS:MH:250843 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924928.1,"Pylaisiadelpha yokohamae TNS:MH:253523 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924927.1,"Pylaisiadelpha yokohamae TNS:MH:256201 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924926.1,"Pylaisiadelpha yokohamae TNS:MH:256477 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924925.1,"Pylaisiadelpha yokohamae TNS:MH:258498 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924924.1,"Pylaisiadelpha yokohamae TNS:MH:258421 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924923.1,"Pylaisiadelpha yokohamae TNS:MH:258478 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924922.1,"Pylaisiadelpha yokohamae TNS:MH:256047 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924921.1,"Pylaisiadelpha yokohamae TNS:MH:253494 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924878.1,"Orthotrichum consobrinum TNS:MH:257366 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924877.1,"Orthotrichum consobrinum TNS:MH:256188 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large s",Mosses,B2_balanced
LC924831.1,"Ceratodon purpureus TNS:MH:256515 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,B2_balanced
LC924830.1,"Ceratodon purpureus TNS:MH:256186 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni",Mosses,B2_balanced
LC924778.1,"Acrolejeunea pusilla TNS:MH:258398 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B2_balanced
LC924777.1,"Acrolejeunea pusilla TNS:MH:257339 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B2_balanced
LC924776.1,"Acrolejeunea pusilla TNS:MH:256191 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B2_balanced
LC924775.1,"Acrolejeunea pusilla TNS:MH:256328 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B2_balanced
LC924774.1,"Acrolejeunea pusilla TNS:MH:256347 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B2_balanced
LC924773.1,"Acrolejeunea pusilla TNS:MH:256339 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B2_balanced
LC924765.1,"Porella ulophylla TNS:MH:257691 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Liverworts,B2_balanced
LC924764.1,"Porella ulophylla TNS:MH:257362 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Liverworts,B2_balanced
LC924763.1,"Porella ulophylla TNS:MH:256196 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit,",Liverworts,B2_balanced
LC924737.1,"Conocephalum orientale TNS:MH:257179 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B2_balanced
LC924736.1,"Conocephalum orientale TNS:MH:256384 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B2_balanced
LC924735.1,"Conocephalum orientale TNS:MH:256373 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B2_balanced
LC924734.1,"Conocephalum orientale TNS:MH:256354 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B2_balanced
LC924733.1,"Conocephalum orientale TNS:MH:256342 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B2_balanced
LC924732.1,"Conocephalum orientale TNS:MH:256322 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Liverworts,B2_balanced
LC376047.1,"Hattoria yakushimensis NICH:T. Katagiri 4281 chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase l",Liverworts,B2_balanced
LC272005.1,"Fissidens subangustus chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Mosses,B2_balanced
LC884819.1,"Cyanidium caldarium SAG16.91 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, co",Red algae,B2_balanced
PX924757.1,"Augea capensis voucher DUB934 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; c",Eudicots,B2_balanced
AB071411.1,"Mastopoma subfiliferum chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Mosses,B2_balanced
AB050950.1,"Filibryum ogatae chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds",Mosses,B2_balanced
AB029389.1,"Myuroclada maximowiczii chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complet",Mosses,B2_balanced
AB029384.1,"Calohypnum plumiforme chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete ",Mosses,B2_balanced
PQ213023.1,"Vaucheria litorea ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Other SAR/protist,B2_balanced
PV999913.1,"Pseudoderbesia epilithica isolate HV06614a ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, complete cds",Green algae,B2_balanced
PV999912.1,"Pseudoderbesia epilithica isolate HV06710 ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, complete cds;",Green algae,B2_balanced
PV999901.1,"Pseudoderbesia sp. HV-2025c isolate HV01289 ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, complete cd",Green algae,B2_balanced
PV999900.1,"Pseudoderbesia sp. HV-2025c isolate HV01288 ribulose 1,5-bisphosphate carboxylase large subunit (rbcL) gene, complete cd",Green algae,B2_balanced
LC858740.1,"Cyathodium cavernarum NICH:T.-X. Zheng 17804 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase l",Liverworts,B2_balanced
LC858739.1,"Cyathodium cavernarum NICH:T.-X. Zheng 17801 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase l",Liverworts,B2_balanced
LC858738.1,"Cyathodium tuberosum PE:L. Luo 769 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subun",Liverworts,B2_balanced
OR165493.1,"Tradescantia fluminensis voucher JH181024001 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, ",Monocots,B2_balanced
OR165438.1,"Cyanotis obtusa voucher 2002-213 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds",Monocots,B2_balanced
PV575775.1,"Sargassum hemiphyllum var. chinense haplotype 5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B2_balanced
PV575774.1,"Sargassum hemiphyllum var. chinense haplotype 4 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B2_balanced
PV575773.1,"Sargassum hemiphyllum var. chinense haplotype 3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B2_balanced
PV575772.1,"Sargassum hemiphyllum var. chinense haplotype 2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B2_balanced
PV575771.1,"Sargassum hemiphyllum var. chinense haplotype 1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gen",Brown algae,B2_balanced
PQ791846.1,"Arachnochrysis pilardiaziae ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chl",Other SAR/protist,B2_balanced
PQ791840.1,"Pelagomonas calceolata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloropl",Other SAR/protist,B2_balanced
