tax_group_v2,og2_genomes,og2_nt,og2_pct,corpus_n,corpus_pct,pass_L1_donor_90,n_donors,start_pct_id
Brown algae,67,8690302,0.4586527929901424,32,1.7391304347826086,0.0,7,60.0
Conifers,198,25102307,1.355421686746988,3,0.16304347826086957,0.8333333333333333,2,88.88888888888889
Eudicots,9009,1391324467,61.67168674698795,848,46.08695652173913,0.8888888888888888,27,91.56378600823044
Ferns,217,32960448,1.485487404162103,20,1.0869565217391304,0.7333333333333333,5,86.66666666666666
Green algae,206,33786080,1.4101861993428257,64,3.4782608695652173,0.0,10,77.22222222222223
Liverworts,44,5255971,0.30120481927710846,83,4.510869565217392,0.6969696969696969,11,88.98989898989898
Monocots,3150,471260101,21.56352683461117,232,12.608695652173912,0.9090909090909092,11,92.42424242424242
Mosses,53,6696272,0.36281489594742605,319,17.33695652173913,0.1428571428571428,14,87.46031746031747
Other angiosperms,1053,167236985,7.208378970427163,95,5.163043478260869,0.925925925925926,9,91.11111111111111
Other green,180,24982631,1.2322015334063527,7,0.3804347826086957,0.0,2,83.33333333333334
Red algae,232,43527972,1.588170865279299,84,4.565217391304348,0.0,11,61.51515151515151
SAR/other protist,199,24530777,1.3622672508214677,53,2.880434782608696,0.0606060606060606,11,60.20202020202021
